TIdx,Time,NCells_S,NCells_R,NCells
0.0,0.0,317.0,0.0,317.0
1.0,1.0,326.0,0.0,326.0
2.0,2.0,333.0,3.0,336.0
3.0,3.0,345.0,5.0,350.0
4.0,4.0,357.0,8.0,365.0
5.0,5.0,368.0,10.0,378.0
6.0,6.0,380.0,11.0,391.0
7.0,7.0,385.0,13.0,398.0
8.0,8.0,405.0,15.0,420.0
9.0,9.0,416.0,14.0,430.0
10.0,10.0,425.0,14.0,439.0
11.0,11.0,441.0,16.0,457.0
12.0,12.0,454.0,17.0,471.0
13.0,13.0,469.0,19.0,488.0
14.0,14.0,488.0,21.0,509.0
15.0,15.0,509.0,27.0,536.0
16.0,16.0,519.0,26.0,545.0
17.0,17.0,532.0,27.0,559.0
18.0,18.0,541.0,30.0,571.0
19.0,19.0,551.0,30.0,581.0
20.0,20.0,567.0,32.0,599.0
21.0,21.0,581.0,35.0,616.0
22.0,22.0,601.0,37.0,638.0
23.0,23.0,616.0,39.0,655.0
24.0,24.0,629.0,41.0,670.0
25.0,25.0,651.0,42.0,693.0
26.0,26.0,660.0,45.0,705.0
27.0,27.0,672.0,47.0,719.0
28.0,28.0,690.0,49.0,739.0
29.0,29.0,701.0,53.0,754.0
30.0,30.0,721.0,55.0,776.0
31.0,31.0,737.0,56.0,793.0
32.0,32.0,757.0,56.0,813.0
33.0,33.0,770.0,57.0,827.0
34.0,34.0,798.0,61.0,859.0
35.0,35.0,824.0,65.0,889.0
36.0,36.0,832.0,66.0,898.0
37.0,37.0,851.0,69.0,920.0
38.0,38.0,870.0,70.0,940.0
39.0,39.0,893.0,73.0,966.0
40.0,40.0,911.0,75.0,986.0
41.0,41.0,929.0,77.0,1006.0
42.0,42.0,949.0,78.0,1027.0
43.0,43.0,971.0,78.0,1049.0
44.0,44.0,990.0,83.0,1073.0
45.0,45.0,1021.0,87.0,1108.0
46.0,46.0,1028.0,95.0,1123.0
47.0,47.0,1041.0,98.0,1139.0
48.0,48.0,1069.0,101.0,1170.0
49.0,49.0,1085.0,103.0,1188.0
50.0,50.0,1105.0,107.0,1212.0
51.0,51.0,1131.0,112.0,1243.0
52.0,52.0,1166.0,114.0,1280.0
53.0,53.0,1194.0,117.0,1311.0
54.0,54.0,1210.0,118.0,1328.0
55.0,55.0,1227.0,120.0,1347.0
56.0,56.0,1251.0,126.0,1377.0
57.0,57.0,1275.0,125.0,1400.0
58.0,58.0,1295.0,128.0,1423.0
59.0,59.0,1315.0,133.0,1448.0
60.0,60.0,1339.0,136.0,1475.0
61.0,61.0,1366.0,144.0,1510.0
62.0,62.0,1401.0,150.0,1551.0
63.0,63.0,1424.0,154.0,1578.0
64.0,64.0,1445.0,157.0,1602.0
65.0,65.0,1475.0,164.0,1639.0
66.0,66.0,1504.0,166.0,1670.0
67.0,67.0,1530.0,168.0,1698.0
68.0,68.0,1549.0,170.0,1719.0
69.0,69.0,1577.0,170.0,1747.0
70.0,70.0,1600.0,172.0,1772.0
71.0,71.0,1634.0,178.0,1812.0
72.0,72.0,1658.0,182.0,1840.0
73.0,73.0,1692.0,185.0,1877.0
74.0,74.0,1730.0,189.0,1919.0
75.0,75.0,1757.0,187.0,1944.0
76.0,76.0,1795.0,188.0,1983.0
77.0,77.0,1810.0,197.0,2007.0
78.0,78.0,1855.0,201.0,2056.0
79.0,79.0,1880.0,204.0,2084.0
80.0,80.0,1905.0,210.0,2115.0
81.0,81.0,1920.0,218.0,2138.0
82.0,82.0,1948.0,223.0,2171.0
83.0,83.0,1988.0,227.0,2215.0
84.0,84.0,2021.0,233.0,2254.0
85.0,85.0,2045.0,237.0,2282.0
86.0,86.0,2070.0,239.0,2309.0
87.0,87.0,2092.0,245.0,2337.0
88.0,88.0,2128.0,252.0,2380.0
89.0,89.0,2148.0,253.0,2401.0
90.0,90.0,2184.0,256.0,2440.0
